source,id,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Protein,Q9UBC9,-0.1574982749456259,0.019113211670614028,0.0,0.21666295729953486,0.4703048038522615,-0.1628666521082159,0.4027062464475196,-0.06564244794700769,0.12110304095172815,0,0.05092471442349803,0.1622231322041439,-0.31721865897090223,-0.3415224689468609,0.021027753002190803,-0.035457079399639074,0.058245589957018194,0.1568816548088952,0.07577143100595948,0.25574038347123956,0.057713495614087326,0.03116308372132878,-0.16201621591469148,0.1282798408411391,-0.12808386377435957,-0.031228924018423913,-0.19327507572863173,-0.10516959033283305,-0.0772688957165654,-0.03734976942287733,-0.08311702094767152,-0.08563570783892539,-0.13263724238057192
Protein,A0A0A0MT69,0.01634143272572702,0.024069138456284812,0.0,-0.054785571169239246,0.41716778557405443,0.0008567558267228992,0.40369909730698045,-0.01822288265777651,0.004258713288620589,0,0.41581466783141036,0.036907954117572125,-0.007392624880310707,-0.00012195610702272354,0.005817200046170418,-0.04001160685487192,-0.020807999907859236,0.5016745351716206,-0.0278821738136205,-0.1087318866364289,-0.02929374071817591,-0.0528887713725795,-0.030024586930388033,-0.08309357641196374,0.44233317434609126,0.024439862031396524,0.054165654464593004,0.025012460728101708,0.055353116981763616,-0.008949292397679613,-0.030635629000768765,-0.044376248505991124,0.028404030996296705
Protein,P01834,0.029743831988915153,-0.11732352433839534,0.0,0.009991631848655199,0.13031363360474427,-0.19150762697401483,0.09354572334891877,-0.33406861533123183,-0.12949683987556318,0,-0.027765550032800977,0.012130358306292837,-0.140328373314639,-0.1249850814253355,0.06540001330335847,-0.27295610225265554,-0.13395873177246118,0.3481551425783054,0.17199996534760978,-0.1581315715623849,0.07317373367036732,-0.0870573071226506,0.07711839958707749,-0.41604430664437486,-0.02548660076114502,0.05751212001464612,-0.09718947449313971,-0.21542811952140326,-0.03728334395699912,-0.2284498817033915,-0.2876262946190276,-0.3123845821235329,0.0057867755533416105
Protein,S4R3E9,-0.09929288458096877,0.08551520644274711,0.0,-0.18572933599968552,0.16649903321317278,-0.03376035557506115,-0.10274875762631695,0.08238837820246112,0.22073494680055297,0,-0.2944790158012884,0.028705831028584993,0,0,0,0,0,-0.1180380573126977,0.055946074827418056,-0.32972902434094764,0.14617296109883962,-0.12231024699611087,-0.19962217359546378,-0.1877977896479347,-0.5677323267505999,0.04285504723263966,-0.12829017951490532,0.13924348123144384,0.09386940611808187,0.37787851908728304,-0.06812539236407975,-0.10888116576201654,0.022999966283946658
Protein,Q15847,-0.18436842439270662,-0.044953402661038935,0.0,0.07530408382507833,0.3681031641596676,-0.15996593452108485,0.10994084271273286,-0.16560896333025363,0.06550951711198266,0,-0.4593375700944143,-0.06019123445633464,-0.3541613036140093,-0.2907583220434977,-0.03200274121583917,0.07954463102704186,-0.03981066773556357,0.12593821626355992,-0.1708124443847408,-0.18695036633264672,-0.1829941479766203,-0.12088160439517995,-0.1999381647849985,-0.06129025655887568,-0.22936800366409055,0.011830216723314163,-0.1428702021190649,-0.11859466129515597,0.03477806257716949,-0.03477506214048124,-0.1721667427760482,-0.16969520891124623,-0.0004905450447838585
Protein,P27482,-0.20784241667532738,0.08785641121944641,0.0,-0.13911438716978028,-0.0308857969361109,-0.04367637845114912,-0.04817338064367245,-0.15579157759770523,-0.0008714701827143066,0,-0.11354656985253628,-0.2434211900998156,-0.2778289959670363,-0.28329801923805364,-0.2973718068793491,0.23679811986410298,-0.0628482026284614,-0.11659896561454033,-0.15498324074893244,-0.2941908320851875,-0.1826531625811371,-0.04822940864979856,-0.14700684507829456,0.015251233176652714,-0.0784132424218784,-0.21751391798317143,-0.36990333437946676,-0.004242660788814021,-0.3131040641618072,0.030474116744884653,-0.02666259374891316,-0.0034558980314984894,-0.2248132260268696
Protein,A0A0C4DH31,-0.010882758263605186,-0.1616127201721211,0.0,-0.09747774168460721,-0.23651012150223233,-0.02618738738399467,-0.252772974516052,-0.05428952562896729,-0.08736767149982663,0,-0.36252239281520654,-0.07451950440825411,-0.12807702851324668,-0.1423369647752408,-0.021046151262089002,-0.2185050338624582,-0.1028214948680232,-0.16919370750688145,-0.3172461694783122,-0.23031876839370105,-0.2779941266259426,-0.2193797352912187,-0.34285547912800796,-0.0636637195910829,-0.36492061337188425,-0.01812765586977905,-0.002156235329846674,-0.08848810740402785,0.015040310895834718,-0.06308973430324623,-0.12784591260040645,-0.08968541423300712,-0.03886043211446573
Protein,P10412,-0.1322891233241558,0.008022897620896077,0.0,0.4490232368137335,0.08178181452967044,-0.06752171143260031,0.25144960624347823,0.04682968137259078,0.041552424175736735,0,0.12754311782254468,-0.12202313096898189,-0.34338860632349877,-0.32286509174464234,-0.26131134378765203,-0.01648723847697252,-0.13517854671486343,0.21201677803158184,-0.0784445485546865,0.1261496917261551,0.06508453440130141,0.07784112311076571,0.4213701878918293,0.016424590111165312,0.2464921429128304,-0.052992912392692944,0.05857234113995221,0.010834987125401627,-0.005845860364096607,-0.08867309134846593,-0.11449267258594775,-0.10038102873013004,-0.09456848147964352
Protein,P35326,0.138422290637109,0.09937674978115689,0.0,-0.07181951503262704,0.3574048462628278,0.014906393215558209,0.16730623254111873,-0.010371006283333891,0.11661328082796692,0,0.1367387917984808,0.08766248356762818,-0.08508190803898384,-0.1812355909554267,0.06943001533656469,0.059209281545766816,0.2157780624758754,0.3021064818948143,0.06248410410755169,0.4411174018224594,0.09055860662411545,0.01634692598686094,-0.02147341521508859,0.369900655734128,-0.36088047936230405,-0.16829736474218532,0.044477803501882525,0.19446527716751613,-0.010936631677842824,0.039265849183867364,-0.11863294108972253,-0.10531583812842951,-0.11874493121597215
Protein,P22532,0.06495175237680469,0.161422506769488,0.0,0.3006907208417458,0.4872924138794572,0.16745767443684997,0.2972750774178167,0.02857145373780554,0.1598426809288754,0,0.2642861679611995,0.17354444123912574,-0.013107890323673222,-0.0403779477527115,0.12289728213510458,0.08546681270338405,0.17243291701431498,0.33037461127816536,0.009111991890610146,0.3225934782549259,0.04933529659056695,-0.0031611804269532726,-0.10856927035865772,0,-0.279512691872705,0,0.09157659727665664,0.1453588724645675,-0.030050567825138024,0.09535268750671731,0,0,0
